# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2023-02-06T04:09:30   104787  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.7  124.566665  42.379282   35.7  59.2  0 0
2023-02-06T04:13:21   104788  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.3  124.566665  42.379282   34.7  59.7  0 0
2023-02-06T04:16:04   104789  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253   28.4  57.7  0 0
2023-02-06T04:17:09   104790  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     302.0  123.820333  46.075253   28.2  57.8  0 0
2023-02-06T04:23:28   104791  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     306.0  123.820333  46.075253   26.5  58.5  0 0
2023-02-06T04:29:45   104792  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     301.2  123.820333  46.075253   24.8  59.2  0 0
2023-02-06T04:37:22   104793  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253   22.6  59.9  0 0
2023-02-06T04:38:21   104794  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.2  123.820333  46.075253   22.3  60.0  0 0
2023-02-06T04:44:34   104795  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.1  123.820333  46.075253   20.4  60.5  0 0
2023-02-06T04:50:52   104796  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.1  123.820333  46.075253   18.4  61.0  0 0
2023-02-06T04:57:37   104797  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253   16.2  61.5  0 0
2023-02-06T04:58:41   104798  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     301.2  123.820333  46.075253   15.9  61.5  0 0
2023-02-06T05:05:04   104799  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.1  123.820333  46.075253   13.7  61.9  0 0
2023-02-06T05:11:18   104800  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.0  123.820333  46.075253   11.4  62.3  0 0
2023-02-06T05:19:27   104801  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      69.1  124.566665  42.379282   11.6  66.1  0 0
2023-02-06T05:22:11   104802  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253    7.5  62.7  0 0
2023-02-06T05:23:08   104803  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     301.0  123.820333  46.075253    7.1  62.7  0 0
2023-02-06T05:29:20   104804  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.1  123.820333  46.075253    4.7  62.9  0 0
2023-02-06T05:35:34   104805  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     301.1  123.820333  46.075253    2.4  63.0  0 0
2023-02-06T05:42:17   104806  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253  359.8  63.0  0 0
2023-02-06T05:43:15   104807  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.2  123.820333  46.075253  359.4  63.0  0 0
2023-02-06T05:49:33   104808  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     301.8  123.820333  46.075253  357.0  62.9  0 0
2023-02-06T05:55:52   104809  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     301.5  123.820333  46.075253  354.6  62.8  0 0
2023-02-06T06:02:46   104810  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253  352.0  62.6  0 0
2023-02-06T06:03:44   104811  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     303.1  123.820333  46.075253  351.7  62.6  0 0
2023-02-06T06:10:08   104812  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.0  123.820333  46.075253  349.3  62.3  0 0
2023-02-06T06:16:23   104813  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     301.3  123.820333  46.075253  347.1  62.0  0 0
2023-02-06T06:24:24   104814  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.2  124.566665  42.379282  342.2  65.2  0 0
2023-02-06T06:27:12   104815  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.2  124.566665  42.379282  341.1  65.0  0 0
2023-02-06T07:01:35   104825  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      69.9  124.566665  42.379282  329.2  61.5  0 0
2023-02-06T07:04:40   104826  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.2  124.566665  42.379282  328.3  61.2  0 0
2023-02-06T07:09:30   104827  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253  331.1  57.5  0 0
2023-02-06T07:10:28   104828  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.2  123.820333  46.075253  330.8  57.4  0 0
2023-02-06T07:16:42   104829  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.4  123.820333  46.075253  329.4  56.6  0 0
2023-02-06T07:23:04   104830  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     305.5  123.820333  46.075253  328.0  55.8  0 0
2023-02-06T07:29:51   104831  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253  326.6  55.0  0 0
2023-02-06T07:30:56   104832  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.1  123.820333  46.075253  326.3  54.8  0 0
2023-02-06T07:37:10   104833  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.1  123.820333  46.075253  325.1  54.0  0 0
2023-02-08T06:49:16   104941  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.3  124.566665  42.379282  330.5  62.1  0 0
2023-02-08T06:52:36   104942  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.4  124.566665  42.379282  329.5  61.7  0 0
2023-02-08T06:55:39   104943  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253  332.6  58.1  0 0
2023-02-08T06:56:41   104944  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.2  123.820333  46.075253  332.3  58.0  0 0
2023-02-08T07:03:06   104945  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.2  123.820333  46.075253  330.7  57.3  0 0
2023-02-08T07:09:32   104946  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     301.7  123.820333  46.075253  329.2  56.5  0 0
2023-02-08T07:19:12   104947  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.8  124.566665  42.379282  322.6  58.1  0 0
2023-02-09T12:17:48   105118  RSR        Pointing     Map(Az)     1419+543                  2023-S1-MX-47                       0.0     0      68.3  214.944156  54.387441  348.8  53.7  0 0
2023-02-09T12:20:35   105119  RSR        Calibration  Cal         11863-3703                2023-S1-MX-47                       0.0     0      12.0  194.059250  56.873386  335.1  45.1  0 0
2023-02-09T12:21:39   105120  RSR        Science      Bs          11863-3703                2023-S1-MX-47                       0.0     0     302.7  194.059250  56.873386  335.0  44.9  0 0
2023-02-09T12:28:10   105121  RSR        Science      Bs          11863-3703                2023-S1-MX-47                       0.0     0     300.4  194.059250  56.873386  334.1  44.3  0 0
2023-02-09T12:34:45   105122  RSR        Science      Bs          11863-3703                2023-S1-MX-47                       0.0     0     300.4  194.059250  56.873386  333.3  43.6  0 0
2023-02-09T12:42:45   105123  RSR        Pointing     Map(Az)     1419+543                  2023-S1-MX-47                       0.0     0      68.2  214.944156  54.387441  343.3  52.2  0 0
2023-02-10T03:32:45   105234  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.3  124.566665  42.379282   40.2  56.1  0 0
2023-02-10T03:35:21   105235  RSR        Calibration  Cal         9487-9102                 2023-S1-MX-47                       0.0     0      12.0  123.820333  46.075253   34.0  54.6  0 0
2023-02-10T03:36:20   105236  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     304.1  123.820333  46.075253   33.8  54.7  0 0
2023-02-10T03:42:38   105237  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     301.6  123.820333  46.075253   32.5  55.6  0 0
2023-02-10T03:49:00   105238  RSR        Science      Bs          9487-9102                 2023-S1-MX-47                       0.0     0     300.0  123.820333  46.075253   31.1  56.4  0 0
2023-02-10T03:56:30   105239  RSR        Pointing     Map(Az)     0818+423                  2023-S1-MX-47                       0.0     0      68.5  124.566665  42.379282   35.0  59.5  0 0
2023-02-10T12:20:24   105352  RSR        Pointing     Map(Az)     1419+543                  2023-S1-MX-47                       0.0     0      68.7  214.944156  54.387441  347.3  53.3  0 0
2023-02-10T12:23:24   105353  RSR        Calibration  Cal         11863-3703                2023-S1-MX-47                       0.0     0      12.0  194.059250  56.873386  334.2  44.4  0 0
2023-02-10T12:24:29   105354  RSR        Science      Bs          11863-3703                2023-S1-MX-47                       0.0     0     303.2  194.059250  56.873386  334.1  44.2  0 0
2023-02-10T12:31:12   105355  RSR        Science      Bs          11863-3703                2023-S1-MX-47                       0.0     0     300.4  194.059250  56.873386  333.3  43.5  0 0
2023-02-10T12:37:45   105356  RSR        Science      Bs          11863-3703                2023-S1-MX-47                       0.0     0     301.1  194.059250  56.873386  332.5  42.8  0 0
2023-02-10T12:46:33   105357  RSR        Pointing     Map(Az)     1419+543                  2023-S1-MX-47                       0.0     0      68.5  214.944156  54.387441  341.7  51.7  0 0
2023-02-14T11:26:33   105471  RSR        Pointing     Map(Az)     1419+543                  2023-S1-MX-47                       0.0     0      68.4  214.944156  54.387441  356.6  54.6  0 0
2023-02-14T11:29:06   105472  RSR        Pointing     Map(Az)     1419+543                  2023-S1-MX-47                       0.0     0      68.3  214.944156  54.387441  355.9  54.6  0 0
2023-02-14T11:31:53   105473  RSR        Calibration  Cal         11863-3703                2023-S1-MX-47                       0.0     0      12.0  194.059250  56.873386  339.4  47.7  0 0
2023-02-14T11:32:50   105474  RSR        Science      Bs          11863-3703                2023-S1-MX-47                       0.0     0     301.9  194.059250  56.873386  339.2  47.6  0 0
2023-02-14T11:39:09   105475  RSR        Science      Bs          11863-3703                2023-S1-MX-47                       0.0     0     304.2  194.059250  56.873386  338.2  47.1  0 0
2023-02-14T11:45:27   105476  RSR        Science      Bs          11863-3703                2023-S1-MX-47                       0.0     0     303.6  194.059250  56.873386  337.3  46.5  0 0
2023-02-14T11:52:12   105477  RSR        Calibration  Cal         11863-3703                2023-S1-MX-47                       0.0     0      12.0  194.059250  56.873386  336.3  45.9  0 0
